Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777521386,10,,Aggregated,0.700000,0.000000,73,2100,19000,26000,30000,32000,3644000,3658000,3661000,3661000,3661000,336,2,72,94389.8225217264,16.538600000785664,3661433.0104999826,341.16964285714283
1777521387,10,,Aggregated,0.700000,0.000000,73,2100,19000,26000,30000,32000,3644000,3658000,3661000,3661000,3661000,338,2,72,93920.47257544407,16.538600000785664,3661433.0104999826,341.42899408284023
1777521388,10,,Aggregated,0.600000,0.000000,73,2100,19000,26000,30000,32000,3644000,3658000,3661000,3661000,3661000,339,2,73,93643.66023215369,16.538600000785664,3661433.0104999826,341.4100294985251
1777521389,10,,Aggregated,0.600000,0.000000,74,2100,19000,26000,30000,31000,3644000,3658000,3661000,3661000,3661000,341,2,74,93161.27672727298,16.538600000785664,3661433.0104999826,341.4692082111437
1777521390,10,,Aggregated,0.800000,0.000000,74,2100,19000,26000,30000,31000,3644000,3658000,3661000,3661000,3661000,342,2,73,92889.03117134528,16.538600000785664,3661433.0104999826,341.4502923976608
1777521391,10,,Aggregated,0.700000,0.000000,73,2100,19000,26000,30000,31000,3644000,3658000,3661000,3661000,3661000,343,2,73,92618.33415568543,16.538600000785664,3661433.0104999826,341.4314868804665
1777521392,10,,Aggregated,0.900000,0.000000,74,2100,19000,26000,30000,31000,3644000,3658000,3661000,3661000,3661000,344,2,73,92355.41108982587,16.538600000785664,3661433.0104999826,341.5203488372093
1777521393,10,,Aggregated,0.900000,0.000000,74,2100,19000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,347,2,74,91629.30318098006,16.538600000785664,3661433.0104999826,341.64553314121036
1777521394,10,,Aggregated,0.800000,0.000000,74,2100,19000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,348,2,74,91366.12357758646,16.538600000785664,3661433.0104999826,341.6264367816092
1777521395,10,,Aggregated,0.900000,0.000000,74,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,349,2,74,91104.4473481378,16.538600000785664,3661433.0104999826,341.6074498567335
1777521397,10,,Aggregated,1.200000,0.000000,74,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,350,2,73,90844.2648451431,16.538600000785664,3661433.0104999826,341.5885714285714
1777521398,10,,Aggregated,1.300000,0.000000,74,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,351,2,74,90653.36427264985,16.538600000785664,3661433.0104999826,341.8575498575499
1777521399,10,,Aggregated,1.400000,0.000000,73,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,353,2,73,90139.9889524082,16.538600000785664,3661433.0104999826,341.8186968838527
1777521400,10,,Aggregated,1.400000,0.000000,73,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,353,2,73,90139.9889524082,16.538600000785664,3661433.0104999826,341.8186968838527
1777521401,10,,Aggregated,1.300000,0.000000,74,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,354,2,73,89891.1997954805,16.538600000785664,3661433.0104999826,341.90112994350284
1777521402,10,,Aggregated,1.400000,0.000000,74,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,355,2,74,89700.00657211295,16.538600000785664,3661433.0104999826,342.2112676056338
1777521403,10,,Aggregated,1.400000,0.000000,74,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,355,2,74,89700.00657211295,16.538600000785664,3661433.0104999826,342.2112676056338
1777521404,10,,Aggregated,1.200000,0.000000,74,2100,19000,24000,30000,31000,3637000,3658000,3661000,3661000,3661000,356,2,73,89448.14168848342,16.538600000785664,3661433.0104999826,342.19101123595505
1777521405,10,,Aggregated,1.200000,0.000000,74,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,358,2,73,89018.92890474891,16.538600000785664,3661433.0104999826,342.4245810055866
1777521406,10,,Aggregated,1.100000,0.000000,73,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,359,2,73,88771.06987437356,16.538600000785664,3661433.0104999826,342.40389972144845
1777521407,10,,Aggregated,0.900000,0.000000,73,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,360,2,72,88524.62978583362,16.538600000785664,3661433.0104999826,342.3833333333333
1777521408,10,,Aggregated,0.900000,0.000000,73,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,360,2,72,88524.62978583362,16.538600000785664,3661433.0104999826,342.3833333333333
1777521409,10,,Aggregated,1.000000,0.000000,73,2100,18000,24000,30000,31000,3637000,3658000,3661000,3661000,3661000,362,2,72,88041.63783370188,16.538600000785664,3661433.0104999826,342.4447513812155
